A1-01,A,A1,Placeholder JWT_SECRET passes validation,security,high,.env.example,2,"The only JWT_SECRET check is length>=16, so the documented 33-character placeholder value passes validation and the README tells users to keep it.","If production runs with the example secret, anyone who knows a valid user id can forge an HS256 session token and log in as that user.","Require high-entropy secret, reject placeholders, validate at startup",jwt-secret-placeholder-accepted
A1-02,A,A1,No rate limiting or brute-force protection on login/register,security,high,src/app/api/auth/login/route.ts,7,"Login and register have no throttle, lockout or CAPTCHA, and password hashing runs pure-JS bcrypt at cost 12 on the main thread.","An attacker can run unlimited credential stuffing against login, and flooding register can saturate CPU and starve the app for all users.",Add per-IP/account rate limiting and use non-blocking hashing,no-rate-limiting-bcrypt-cpu-cost
A1-03,A,A1,No production deployment path,infra,medium,package.json,6-14,"The only migration script is the interactive prisma migrate dev, and there is no Dockerfile, CI, health endpoint or documented production procedure.",Someone following the README on a server either runs migrate dev against production or has no documented way to apply migrations.,"Add migrate deploy script, Dockerfile, CI and a health route",no-deployment-pipeline
A1-04,A,A1,"No tests, no test script, no CI",tests,medium,package.json,,"There is no test script, test files or CI pipeline covering authorization, validation, scoring or share-token lifecycle.",A future refactor that drops userId from a where clause ships silently and exposes another user's ideas.,Add integration/unit tests and run them in CI,no-tests
A1-05,A,A1,Predictions and status can be rewritten after outcome is recorded,correctness,medium,src/lib/validation.ts,30-38,PATCH /api/ideas/[id] accepts any combination of prediction scores and status with nothing locking them once an outcome exists.,"A user can edit the original predicted scores after seeing the result, so the calibration 'how wrong was I' metric reports whatever the user wants.",Make predictions immutable once an outcome exists,predictions-editable-after-outcome
A1-06,A,A1,Sessions cannot be revoked,security,medium,src/lib/session.ts,24-27,"Sessions are stateless 30-day JWTs and logout only deletes the browser cookie, with no server-side record or token version.",A stolen cookie or token stays valid for up to 30 days after the user logs out.,Add a session table or tokenVersion checked on every request,no-session-revocation-account-lifecycle
A1-07,A,A1,No security headers,security,medium,next.config.ts,3-5,"The Next config sets no CSP, X-Frame-Options, Referrer-Policy, X-Content-Type-Options or HSTS.",Another site can frame /ideas/[id] and clickjack the delete and share-link buttons.,"Add a headers() block with CSP, frame-ancestors and HSTS",no-security-headers
A1-08,A,A1,"Unhandled errors: registration race, missing-secret crash, silent logout",correctness,medium,src/app/api/auth/register/route.ts,19-30,"No Prisma call is wrapped in try/catch; a concurrent registration throws an unhandled unique-violation, a missing JWT_SECRET makes setSessionCookie throw after the user is created, and verifySessionToken swallows that same error so every request just looks logged out.","Two concurrent registrations for one email make the second request crash with a raw 500 instead of a 409, and a missing secret leaves an orphaned user account with no visible error.","Catch P2002, add error pages, fail fast on a bad secret",register-race-condition-500
A1-09,A,A1,Database integrity gaps around outcome/status/hindsight,correctness,medium,prisma/schema.prisma,41-47,"The database allows outcome set with partial hindsight, hindsight scores while status is ACTIVE, and status DONE with no outcome, and the existing CHECK constraints live only in raw SQL invisible to schema.prisma.","A record with outcome removed can leave hindsightTotal null while the UI still renders a hindsight cell, and direct writes bypass the API's rules entirely.",Add DB CHECK constraints and document them in the schema,status-outcome-inconsistency-db
A1-10,A,A1,"Unbounded reads, no pagination, no size limits",performance,medium,src/app/api/ideas/route.ts,15-21,"Every idea for a user, with descriptions up to 5,000 characters, is loaded and sorted in JS with no pagination, per-user cap or request body size limit.",An account that creates thousands of ideas makes its dashboard slow and heavy for both server and browser.,"Paginate, sort in SQL, cap ideas per user and body size",unbounded-queries-no-pagination
