B1-01,B,B1,docs-reviewer,JWT secret placeholder accepted,security,high,README.md,27,"The README tells users to keep the default JWT_SECRET and the .env.example placeholder passes the length check in getSecretKey(), so sessions can be signed with a publicly known key (also flagged by security-reviewer).","A deployment that copies .env.example as-is signs sessions with a known key, letting anyone forge a session cookie, and a missing/short secret causes login/register to 500 and proxy.ts to silently redirect /ideas to /login.",Reject placeholder secret in code; document JWT_SECRET requirement; remove 'keep defaults' text.,jwt-secret-placeholder-accepted
B1-02,B,B1,test-reviewer,No test runner or test script,tests,high,package.json,5-13,"There is no test runner, no test script, and no test files anywhere in the project.","Auth, per-user isolation and public sharing behavior are all completely untested.",Add a test runner and a test script.,no-tests
B1-03,B,B1,test-reviewer,Scoring functions untested,tests,high,src/lib/scoring.ts,23-47,"totalScore, hindsightTotal and scoreDelta have no tests despite driving ranking and calibration.",A bug in these functions could silently produce wrong rankings or calibration numbers.,"Add unit tests for sums, null-hindsight cases, and negative deltas.",no-tests-scoring
B1-04,B,B1,test-reviewer,Calibration function untested,tests,high,src/lib/calibration.ts,16-31,"computeCalibration has no test, and a '?? predicted' fallback at line 21 may be dead code.",,Add tests for empty and no-hindsight cases; remove the fallback if unreachable.,no-tests-calibration
B1-05,B,B1,test-reviewer,Owner scoping untested across idea routes,tests,high,src/app/api/ideas/[id]/route.ts,"14,25,50","Owner scoping and the 404-for-other-users'-idea behavior are untested across GET, PATCH, DELETE and the outcome route.","Dropping the userId filter would break nothing visible in current tests, so a regression exposing other users' ideas could ship undetected.",Add tests that user B gets 404 from GET/PATCH/DELETE/outcome on user A's idea.,no-tests-ownership-scoping
B1-06,B,B1,test-reviewer,Share token lifecycle untested,tests,high,src/app/api/ideas/[id]/share/route.ts,"19-22,41-44","Share token reuse on repeat POST, rotation on regenerate, and revocation on DELETE are untested.",A broken revocation or rotation could leave an old share token valid without any test catching it.,"Add tests for reuse, rotation and revocation.",no-tests-share-tokens
B1-07,B,B1,test-reviewer,Public share payload untested,tests,high,src/app/api/share/[token]/route.ts,"13-14,17-35",The unknown-token 404 and the whitelist that keeps userId and shareToken out of the public payload are untested.,A future edit could leak userId or shareToken in the public response without a test catching it.,Assert the exact key set of the public idea payload.,no-tests-public-share-payload
B1-08,B,B1,test-reviewer,Validation schemas untested,tests,high,src/lib/validation.ts,3-47,"The Zod range, length and status rules are untested, though the README advertises them.",,"Test boundary values (0, 6, 3.5, missing) and outcome schema rejections.",no-tests-validation
B1-09,B,B1,test-reviewer,Auth route status codes untested,tests,high,src/app/api/auth/register/route.ts,19-25,The duplicate-email 409 on register and the wrong-password 401 on login are untested.,,Add tests for duplicate-email 409 and wrong-password 401 with no cookie set.,no-tests-auth-routes
B1-10,B,B1,test-reviewer,Session verification and proxy redirect untested,tests,high,src/lib/auth.ts,36-52,"verifySessionToken and the proxy redirect, the only gate on /ideas, are untested (also covers src/proxy.ts:11-18).","A tampered, expired, or malformed token, or an unauthenticated request, could bypass the /ideas gate without a test catching a regression.",Add tests for tampered/expired tokens and unauthenticated redirect.,no-tests-session-verification
B1-11,B,B1,security-reviewer,Postgres exposed with default creds,infra,medium,docker-compose.yml,9,Postgres publishes 5432:5432 on all interfaces with the well-known idealog/idealog credentials.,Anyone who can reach the host network can connect to the database using default credentials.,Bind to 127.0.0.1:5432:5432.,postgres-exposed-default-creds
B1-12,B,B1,infra-reviewer,No teardown for Postgres volume,infra,medium,docker-compose.yml,14,"The idealog_pgdata volume has no teardown path, no db:down script, and the README doesn't mention docker compose down -v (also noted by docs-reviewer).",,Add a db:down script and document it.,docker-volume-no-teardown
B1-13,B,B1,infra-reviewer,No production migration path,infra,medium,package.json,11,"The only migration script is prisma migrate dev; nothing applies migrations to a non-dev database, and the README has no production section (also noted by docs-reviewer).",Running pnpm build && pnpm start against a fresh database fails on the first query.,Add a prisma migrate deploy script and document a production path.,no-deployment-pipeline
B1-14,B,B1,security-reviewer,No session revocation on logout,security,medium,src/lib/session.ts,24,Logout only deletes the cookie; the 30-day JWT stays valid if it was copied elsewhere (also noted by docs-reviewer).,A stolen or copied token remains usable for up to 30 days after the user logs out.,"Add a tokenVersion or session table, or shorten the TTL, and document the limitation.",no-session-revocation-account-lifecycle
B1-15,B,B1,security-reviewer,No login rate limiting,security,medium,src/app/api/auth/login/route.ts,17,Login has no rate limiting or lockout.,Passwords can be guessed via repeated login attempts in a loop.,Add per-IP and per-account throttling.,no-rate-limiting-bcrypt-cpu-cost
B1-16,B,B1,security-reviewer,Login timing reveals registered emails,security,medium,src/app/api/auth/login/route.ts,19,"The unknown-email path returns before any bcrypt work, so response timing reveals which emails are registered.",An attacker can time login responses to enumerate registered accounts.,Run a dummy bcrypt.compare when the user isn't found.,account-enumeration
B1-17,B,B1,security-reviewer,No registration rate limiting,security,medium,src/app/api/auth/register/route.ts,19,"Registration has no rate limiting, and its 409 response additionally confirms which emails already have accounts.",,Throttle registration; decide whether to accept or fix the email enumeration.,no-rate-limiting-bcrypt-cpu-cost
B1-18,B,B1,docs-reviewer,No known-limitations section in README,docs,medium,README.md,1-66,"There is no known-limitations section listing the absence of password reset, email verification, rate limiting, and no ADR for the stateless JWT model.",,Add a limitations list or a short ADR in docs/decisions/.,readme-no-limitations-section
B1-19,B,B1,docs-reviewer,API routes undocumented,docs,medium,README.md,46-57,"The route table lists pages only; the JSON API, including the unauthenticated /api/share/[token], is undocumented.",,"Add method, auth requirement and purpose for each API route.",readme-api-undocumented
B1-20,B,B1,docs-reviewer,README typo undercuts sharing feature,docs,medium,README.md,10,'unshareable/unguessable link' reads as the opposite of the sharing feature (also noticed by scope-reviewer).,,Change to 'unguessable'.,readme-typo-unshareable-unguessable
B1-21,B,B1,docs-reviewer,bcrypt vs bcryptjs naming mismatch,docs,medium,README.md,9,The features list says bcrypt while the Stack section says bcryptjs; package.json uses bcryptjs.,,Make the README wording consistent with bcryptjs.,readme-bcrypt-bcryptjs-mismatch
B1-22,B,B1,test-reviewer,DB CHECK constraints untested,tests,medium,prisma/migrations/20260917213700_score_checks/migration.sql,2-10,The database CHECK constraints on score ranges are untested.,,Add an integration test against real Postgres inserting an out-of-range value like differentiation = 6.,no-tests-db-constraints
B1-23,B,B1,test-reviewer,"Invalid status filter silently ignored, untested",correctness,medium,src/app/api/ideas/route.ts,"13-18,23-25","An invalid ?status= value is silently ignored and returns all ideas instead of erroring, and this plus the ranking sort are untested.",A client passing a mistyped status value gets all ideas back with no indication the filter was invalid.,Validate the status parameter and add tests for both behaviors.,invalid-status-filter-ignored
B1-24,B,B1,test-reviewer,PATCH mass-assignment protection untested,tests,medium,src/app/api/ideas/[id]/route.ts,37-40,"PATCH writes parsed.data straight into the update, and nothing tests that client-supplied userId or shareToken is stripped by Zod.","If Zod's key-stripping behavior ever changed, a client could overwrite userId or shareToken with no test catching it.",Add tests asserting a partial update leaves other fields alone and strips unknown keys.,no-tests-partial-update-mass-assignment
B1-25,B,B1,test-reviewer,Owner serialization leaks userId,security,low,src/lib/serialize-idea.ts,8-13,"The owner-facing response spreads the whole Prisma row, so userId is included in the API response (security-reviewer did not report this).",,Whitelist fields in the owner response the same way the public share response is whitelisted.,owner-serialize-leaks-userid
