B1.2-01,B2c,B1.2,orchestrator,Scope PASS is vacuous,meta,informational,,,"Verdicts summary notes scope-reviewer's PASS reflects nothing to check against, not a clean scope.",,,meta-scope-not-checked,none
B1.2-02,B2c,B1.2,docs-reviewer,JWT_SECRET keep-defaults advice,docs,high,README.md,30,README says keep the defaults for JWT_SECRET without explaining it signs the session cookie or stating a length requirement.,A deployer keeping the default JWT_SECRET signs sessions with a publicly known key.,"Remove 'or keep the defaults', document requirements, give a generation command such as openssl rand -base64 32.",jwt-secret-placeholder-accepted,none
B1.2-03,B2c,B1.2,docs-reviewer,.env.example vars undocumented,docs,high,.env.example,1-2,"Neither DATABASE_URL nor JWT_SECRET has a comment explaining purpose, whether required, or failure mode.",,Add a one-line comment above each variable; DATABASE_URL should say it must match docker-compose.yml credentials.,jwt-secret-placeholder-accepted,none
B1.2-04,B2c,B1.2,test-reviewer,No test runner or test script,tests,high,package.json,5,"No test runner, no test script, and no test file exist in a 6,985-line app with auth boundaries.",,Add a runner (vitest) and a test script.,no-tests,none
B1.2-05,B2c,B1.2,test-reviewer,Ownership checks untested across idea routes,tests,high,src/app/api/ideas/[id]/route.ts,"14,25,50","The findFirst({id,userId}) ownership checks, the only barrier stopping cross-user access, are untested across GET/PATCH/DELETE/outcome/share.",A regression dropping the userId filter would expose other users' ideas undetected.,"Test that user B gets 404 on GET, PATCH, DELETE, outcome PATCH and share POST/DELETE for user A's idea.",no-tests-ownership-scoping,none
B1.2-06,B2c,B1.2,test-reviewer,Share token behavior untested,tests,high,src/app/api/ideas/[id]/share/route.ts,18-22,"Reuse of the existing share token, rotation on regenerate:true, and the {} fallback on a malformed body are untested.",,Test all three cases.,no-tests-share-tokens,none
B1.2-07,B2c,B1.2,test-reviewer,Public share endpoint untested,tests,high,src/app/api/share/[token]/route.ts,13-35,"The public endpoint has no test for a valid token, an unknown token, or a revoked token.",,Test valid token omits userId/id/shareToken; unknown and revoked tokens return 404.,no-tests-public-share-payload,none
B1.2-08,B2c,B1.2,test-reviewer,Auth route status codes untested,tests,high,src/app/api/auth/register/route.ts,19-25,"Duplicate-email 409, unknown-user 401 and wrong-password 401 are untested, including that the two 401 messages match.",,Test each status code and message.,no-tests-auth-routes,none
B1.2-09,B2c,B1.2,test-reviewer,verifySessionToken untested,tests,high,src/lib/auth.ts,38-51,"verifySessionToken's null returns on bad signature, expired token, or missing sub/email, and getSecretKey's throw on a short secret, are untested.",,"Test a tampered token, expired token, token without email, and the short-secret throw.",no-tests-session-verification,none
B1.2-10,B2c,B1.2,test-reviewer,Proxy auth gate untested,tests,high,src/proxy.ts,7-20,"The redirect of unauthenticated /ideas requests to /login, the outer auth gate, is untested.",,"Test no cookie, garbage cookie, valid cookie, and that /login is not redirected.",no-tests-proxy-redirect,none
B1.2-11,B2c,B1.2,test-reviewer,Scoring functions untested,tests,high,src/lib/scoring.ts,25-47,"totalScore, hindsightTotal and scoreDelta are untested including null branches.",,"Test all four hindsight scores present, one missing returning null, delta as hindsight minus prediction.",no-tests-scoring,none
B1.2-12,B2c,B1.2,test-reviewer,Calibration function untested,tests,high,src/lib/calibration.ts,15-32,"computeCalibration is untested including the empty null return, the hindsightTotal filter, and averaging.",,"Test empty, mixed, and a hand-computed set (deltas +2 and -1 give avgTotalDelta 0.5).",no-tests-calibration,none
B1.2-13,B2c,B1.2,test-reviewer,Validation schemas untested,tests,high,src/lib/validation.ts,3-47,The Zod schemas carrying the 1-5 range contract are untested.,,"Test scores 0/6/3.5 rejected, 1/5 accepted, email lowercased/trimmed, outcomeSchema rejects ACTIVE.",no-tests-validation,none
B1.2-14,B2c,B1.2,security-reviewer,Placeholder JWT_SECRET passes length guard,security,medium,.env.example / src/lib/auth.ts,2 / 10,"The 33-character placeholder JWT_SECRET passes the <16 length guard, so a deployer copying the file unchanged signs with a known key.",Anyone who copies the file unchanged can forge a cookie for any user id.,Reject the placeholder at startup or leave the variable empty so the guard fires.,jwt-secret-placeholder-accepted,none
